rl-master  | 2025-12-07 23:16:36,903 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:37,105 | INFO | Replication attempt 32 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:37,114 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:37,315 | INFO | Replication attempt 33 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:37,327 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:37,532 | INFO | Replication attempt 34 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:37,546 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:37,685 | ERROR | Heartbeat failed for http://secondary2:8001 (5 failures): suspected -> unhealthy
rl-master  | 2025-12-07 23:16:37,752 | INFO | Replication attempt 35 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:37,763 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:37,965 | INFO | Replication attempt 36 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:37,975 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:38,181 | INFO | Replication attempt 37 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:38,190 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:38,396 | INFO | Replication attempt 38 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:38,405 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:38,605 | INFO | Replication attempt 39 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:38,609 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:38,616 | INFO | 127.0.0.1 - - [07/Dec/2025 23:16:38] "GET /health HTTP/1.1" 200 -
rl-master  | 2025-12-07 23:16:38,814 | INFO | Replication attempt 40 to http://secondary2:8001 for seq=1
